Year,Entity,Frequency
FarRight_2-2016,Afghan,2
FarRight_2-2016,Nigerian,1
FarRight_2-2016,Donald Trump,2
FarRight_2-2016,Americans,3
FarRight_2-2016,Muslim,2
FarRight_2-2016,Syria,1
FarRight_2-2016,Rubio,7
FarRight_2-2016,driver,2
FarRight_2-2016,Germany,2
FarRight_2-2016,European Commission,1
FarRight_2-2016,Fox News,1
FarRight_2-2016,South Africa,1
FarRight_2-2016,Muslims,4
FarRight_2-2016,Kelly,4
FarRight_2-2016,Italian,1
FarRight_2-2016,African,2
FarRight_2-2016,Norwegian,2
FarRight_2-2016,Refugee Council,1
FarRight_2-2016,Bush,2
FarRight_2-2016,Iraqi,6
FarRight_2-2016,Britain,2
FarRight_2-2016,Hungary,1
FarRight_2-2016,AQAP,1
FarRight_2-2016,Sudan,2
FarRight_2-2016,his,1
FarRight_2-2016,Jewish,11
FarRight_2-2016,Israelis,1
FarRight_2-2016,Barack Obama,2
FarRight_2-2016,U.S.,3
FarRight_2-2016,president,1
FarRight_2-2016,Obama,1
FarRight_2-2016,President,1
FarRight_2-2016,French,10
FarRight_2-2016,Jews,1
FarRight_2-2017,attorney,1
FarRight_2-2017,OH,1
FarRight_2-2017,American,4
FarRight_2-2018,America,1
FarRight_2-2018,El Salvador,1
FarRight_2-2018,Roz,2
FarRight_2-2018,Witz,1
FarRight_2-2018,Jewish,1
FarRight_2-2018,Jew,1
FarRight_2-2018,Alexa,2
