Dataset,Topic,Entity,Frequency
FarRight_2-2016,Immigration,Afghan,2
FarRight_2-2016,Immigration,Nigerian,1
FarRight_2-2016,Immigration,Donald Trump,2
FarRight_2-2016,Immigration,Americans,1
FarRight_2-2016,Immigration,Muslim,1
FarRight_2-2016,Immigration,Syria,1
FarRight_2-2016,Immigration,Rubio,7
FarRight_2-2016,Immigration,driver,2
FarRight_2-2016,Immigration,Germany,2
FarRight_2-2016,Immigration,European Commission,1
FarRight_2-2016,Immigration,Fox News,1
FarRight_2-2016,Immigration,South Africa,1
FarRight_2-2016,Immigration,Muslims,1
FarRight_2-2016,Immigration,Kelly,4
FarRight_2-2016,Immigration,Italian,1
FarRight_2-2016,Immigration,African,2
FarRight_2-2016,Immigration,Norwegian,2
FarRight_2-2016,Immigration,Refugee Council,1
FarRight_2-2016,Immigration,Bush,2
FarRight_2-2016,Immigration,Iraqi,6
FarRight_2-2016,Immigration,Britain,2
FarRight_2-2016,Immigration,Hungary,1
FarRight_2-2016,Islamophobia,AQAP,1
FarRight_2-2016,Islamophobia,Sudan,2
FarRight_2-2016,Islamophobia,Muslim,1
FarRight_2-2016,Islamophobia,Americans,2
FarRight_2-2016,Islamophobia,Muslims,3
FarRight_2-2016,Islamophobia,his,1
FarRight_2-2016,Anti-semitism,Jewish,11
FarRight_2-2016,Anti-semitism,Israelis,1
FarRight_2-2016,Anti-semitism,Barack Obama,2
FarRight_2-2016,Anti-semitism,U.S.,3
FarRight_2-2016,Anti-semitism,president,1
FarRight_2-2016,Anti-semitism,Obama,1
FarRight_2-2016,Anti-semitism,President,1
FarRight_2-2016,Anti-semitism,French,10
FarRight_2-2016,Anti-semitism,Jews,1
FarRight_2-2017,Immigration,attorney,1
FarRight_2-2017,Immigration,OH,1
FarRight_2-2017,Immigration,American,4
FarRight_2-2018,Immigration,America,1
FarRight_2-2018,Immigration,El Salvador,1
FarRight_2-2018,Immigration,Roz,2
FarRight_2-2018,Immigration,Witz,1
FarRight_2-2018,Anti-semitism,Jewish,1
FarRight_2-2018,Anti-semitism,Jew,1
FarRight_2-2018,Anti-semitism,Alexa,2
