Year,Entity,Frequency
FarRight_2-2016,India,1
FarRight_2-2016,President,25
FarRight_2-2016,Donald Trump,22
FarRight_2-2016,his,25
FarRight_2-2016,marine,1
FarRight_2-2016,U.S.,52
FarRight_2-2016,American,11
FarRight_2-2016,Miss,1
FarRight_2-2016,Ocasio-Cortez,4
FarRight_2-2016,president,6
FarRight_2-2016,judge,2
FarRight_2-2016,Australian,1
FarRight_2-2016,Merkel,2
FarRight_2-2016,Sinaloa Cartel,3
FarRight_2-2016,El Salvador,1
FarRight_2-2016,U.S,1
FarRight_2-2016,Canada,2
FarRight_2-2016,African,4
FarRight_2-2016,Asian,2
FarRight_2-2016,mobile,1
FarRight_2-2016,Hull,1
FarRight_2-2016,Falcons,1
FarRight_2-2016,NFC,1
FarRight_2-2016,California,3
FarRight_2-2016,Samsung Electronics,1
FarRight_2-2016,AHL,1
FarRight_2-2016,Chile,1
FarRight_2-2016,Mastercard,1
FarRight_2-2016,University of Southern California,1
FarRight_2-2016,Urman,1
FarRight_2-2016,Deputy Chairman,1
FarRight_2-2016,Bangladesh,2
FarRight_2-2016,Colombian,2
FarRight_2-2016,He,6
FarRight_2-2016,EU,4
FarRight_2-2016,Trump,32
FarRight_2-2016,Syrian,27
FarRight_2-2016,executive,8
FarRight_2-2016,ALEK SKARLATOS,2
FarRight_2-2016,Cheng,2
FarRight_2-2016,Arctic,2
FarRight_2-2016,Rep.,4
FarRight_2-2016,Alexandria Ocasio-Cortez,2
FarRight_2-2016,starter,2
FarRight_2-2016,Kristaps Porzingis,2
FarRight_2-2016,Dennis Smith Jr.,2
FarRight_2-2016,Mueller,1
FarRight_2-2016,Israeli,4
FarRight_2-2016,Indian American,1
FarRight_2-2016,Iraq,1
FarRight_2-2016,China,1
FarRight_2-2016,U.S. Embassy,1
FarRight_2-2016,Yemen,3
FarRight_2-2016,S.E. Smith,1
FarRight_2-2016,ambassador,1
FarRight_2-2016,Kim,1
FarRight_2-2016,Berkeley,1
FarRight_2-2016,attorney,2
