Immigration,,
,Right,,
,,Trump,8
,,his,5
,,Americans,5
,,America,5
,,Iraqi,4
,Center,,
,,his,3
,,Trump,3
,,Australian,2
,,Border Wall,2
,,Mexico,2
,Left,,
,,Iran,1
,,intra-European,1
,,judge,1
,,Syrian,1
,,America,1
Islamophobia,,
,Right,,
,,Muslims,38
,,Islam,31
,,Muslim,28
,,Islamists,6
,,Sunni,5
,Center,,
,,Islam,3
,,Muslims,3
,,Muslim,3
,,Shia,2
,,Pope Francis,2
,Left,,
,,Muslims,1
,,Serbs,1
Anti-semitism,,
,Right,,
,,Jews,65
,,Jewish,50
,,Jew,29
,,Judaism,5
,,Christians,4
,Center,,
,,Jewish,3
,,GOP,2
,,Jew,2
,,Omar,2
,,Ilhan Omar,2
,Left,,
,,Jewish,1
Transphobia,,
,Right,,
,,Californians,1
,,New Zealand,1
,,weightlifter,1
,,her,1
,,teacher,1
,Center,,
,Left,,
