Immigration,,
,Marginal,
,,Muslim,11
,,America,9
,,Obama,7
,,Americans,7
,,German,7
,Direct,
,Peripheral,
,,Sharif,1
,,Somalia,1
,,Anderson,1
,,Evangelical Immigration Table,1
,,Visa Inc.,1
Islamophobia,,
,Marginal,
,,Muslims,63
,,Islam,57
,,Muslim,50
,,Islamists,8
,,Sunni,8
,Direct,
,Peripheral,
Anti-semitism,,
,Marginal,
,,politician,7
,,Judaism,6
,,Israelis,4
,,Barack Obama,4
,,Christians,4
,Direct,
,Peripheral,
,,host,2
,,California,2
,,Turkey,2
,,Judeo-Christian,2
,,Adam Laxalt,1
Transphobia,,
,Marginal,
,,Californians,2
,,student,2
,,New York Times,1
,,New Zealand,1
,,weightlifter,1
,Direct,
,Peripheral,
