Dataset,Topic,Entity,Frequency
FarRight_2-2016,Immigration,Immigrant-rights,1
FarRight_2-2016,Immigration,driver,2
FarRight_2-2016,Immigration,Iraqi,4
FarRight_2-2016,Immigration,Donald Trump,2
FarRight_2-2016,Immigration,Americans,1
FarRight_2-2016,Immigration,Syrian,3
FarRight_2-2016,Immigration,Jordan,1
FarRight_2-2016,Immigration,America,2
FarRight_2-2016,Islamophobia,Muslims,4
FarRight_2-2016,Islamophobia,Trump,1
FarRight_2-2016,Islamophobia,Muslim,1
FarRight_2-2016,Islamophobia,Muslim Fulani,3
FarRight_2-2017,Islamophobia,Muslims,1
FarRight_2-2017,Transphobia,Californians,2
FarRight_2-2018,Immigration,America,1
FarRight_2-2018,Immigration,El Salvador,1
