Year,Entity,Frequency
FarRight_2-2016,Mexican,5
FarRight_2-2016,Syrian,17
FarRight_2-2016,American Civil Liberties Union,1
FarRight_2-2016,ACLU,1
FarRight_2-2016,U.S.,2
FarRight_2-2016,general,1
FarRight_2-2016,Trump,60
FarRight_2-2016,Turnbull,1
FarRight_2-2016,Peter Thiel,2
FarRight_2-2016,New Zealand,4
FarRight_2-2016,UNCSR,1
FarRight_2-2016,State Department,2
FarRight_2-2016,Muslim,52
FarRight_2-2016,North,1
FarRight_2-2016,African,7
FarRight_2-2016,Asian,5
FarRight_2-2016,Obama,5
FarRight_2-2016,Iran,3
FarRight_2-2016,intra-European,2
FarRight_2-2016,judge,2
FarRight_2-2016,America,6
FarRight_2-2016,US,8
FarRight_2-2016,United States,2
FarRight_2-2016,Hispanics,5
FarRight_2-2016,New York,1
FarRight_2-2016,executive,12
FarRight_2-2016,American,5
FarRight_2-2016,Muslims,35
FarRight_2-2016,Donald Trump,11
FarRight_2-2016,President,7
FarRight_2-2016,Conway,1
FarRight_2-2016,president,2
FarRight_2-2016,Yemen,1
FarRight_2-2016,Nigeria,2
FarRight_2-2016,secretary of Homeland Security,1
FarRight_2-2016,his,10
FarRight_2-2016,barber,1
FarRight_2-2016,Canada,1
FarRight_2-2016,minister,1
FarRight_2-2016,Schultz,1
FarRight_2-2016,Nicholas Espiritu,1
FarRight_2-2016,attorney,2
FarRight_2-2016,Israeli,1
FarRight_2-2016,Commonwealth Office,1
FarRight_2-2016,South Dakota,1
FarRight_2-2016,Jeff Jacoby,1
FarRight_2-2016,All-Democratic,1
FarRight_2-2016,"Rich Lowry
Biden",1
FarRight_2-2016,UAE,1
FarRight_2-2016,Catholic Charities,1
FarRight_2-2016,Turkey,5
FarRight_2-2016,Mass,2
FarRight_2-2016,Hamas,1
FarRight_2-2016,DNC,2
FarRight_2-2016,EU,13
FarRight_2-2016,Russian,2
FarRight_2-2016,Thakkar,1
FarRight_2-2016,She,5
FarRight_2-2016,Kulnawaz Youssef,1
FarRight_2-2016,Habeeba Waqas,1
FarRight_2-2016,Suad Abdulmajeed,1
FarRight_2-2016,Sheikhmous Hussein,1
FarRight_2-2016,Greece,1
FarRight_2-2016,Fidan Kiru,1
FarRight_2-2016,Afrin,1
FarRight_2-2016,Sahar Dargzini,1
FarRight_2-2016,Amineh Hamad,1
FarRight_2-2016,VISA FIS Freestyle World Cup,1
FarRight_2-2016,Twitter,1
FarRight_2-2016,Lea DeLaria,1
FarRight_2-2016,McCarthy,1
FarRight_2-2016,Afghan,2
FarRight_2-2016,Greek,4
FarRight_2-2016,Nigerian,4
FarRight_2-2016,Merkel,1
FarRight_2-2016,she,5
FarRight_2-2016,Mohammed Deif,1
FarRight_2-2016,Italy,2
FarRight_2-2016,Sweden,1
FarRight_2-2016,her,2
FarRight_2-2016,pro-American,2
FarRight_2-2016,German,1
FarRight_2-2016,Facebook,1
FarRight_2-2016,Customs Enforcement,2
FarRight_2-2016,El Salvador,2
FarRight_2-2016,Congress,1
FarRight_2-2016,Manus,1
FarRight_2-2016,European,2
FarRight_2-2016,Center for Immigration Studies,1
FarRight_2-2016,Jessica Vaughan,1
FarRight_2-2016,Fairness,1
FarRight_2-2016,Honduran,1
FarRight_2-2016,His,2
FarRight_2-2016,Ronil Singh,1
FarRight_2-2016,Republicans,1
FarRight_2-2016,EBC,1
FarRight_2-2016,Nauru,4
FarRight_2-2016,Americans,3
FarRight_2-2016,Palestinian,1
FarRight_2-2016,Booker,1
FarRight_2-2016,European Union,1
FarRight_2-2016,Times,2
FarRight_2-2016,columnist,2
FarRight_2-2016,Australia,2
FarRight_2-2016,Immigration Minister,1
FarRight_2-2016,David Coleman,1
FarRight_2-2016,Beltway Democrat,1
FarRight_2-2016,Customs,2
FarRight_2-2016,Illegals,2
FarRight_2-2016,Argentina,4
FarRight_2-2016,Japan,2
FarRight_2-2016,Ukraine,2
FarRight_2-2016,Ferrera,2
FarRight_2-2016,Schmarsel,2
FarRight_2-2016,Germany,2
FarRight_2-2016,truck driver,1
FarRight_2-2016,UNHCR,1
FarRight_2-2016,Immigration NZ,2
FarRight_2-2016,Camila Cabello,1
FarRight_2-2016,British,1
FarRight_2-2016,Israel,5
FarRight_2-2016,Alba,1
FarRight_2-2016,Sudan,1
FarRight_2-2016,Bangladesh,4
FarRight_2-2016,Norwegian,2
FarRight_2-2016,Refugee Council,1
FarRight_2-2016,Tunisian,2
FarRight_2-2016,Rohingya,2
FarRight_2-2016,Jordan,2
FarRight_2-2016,California,1
FarRight_2-2016,He,2
FarRight_2-2016,Malaysians,4
FarRight_2-2016,United Nations Refugee Agency,2
FarRight_2-2016,Iraqi,2
FarRight_2-2016,Germanic,2
FarRight_2-2016,Whitaker,1
FarRight_2-2016,Gazan,1
FarRight_2-2016,Bill Clinton,1
FarRight_2-2016,Nakivale,4
FarRight_2-2016,Uganda,4
FarRight_2-2016,Sunni Muslim,1
FarRight_2-2016,Syria,4
FarRight_2-2016,Muslim Brotherhood,1
FarRight_2-2016,Giuliani,1
FarRight_2-2016,Ban,2
FarRight_2-2016,Islamophobic,3
FarRight_2-2016,White House,1
FarRight_2-2016,Central Intelligence Agency,1
FarRight_2-2016,Sunni,3
FarRight_2-2016,muslim,3
FarRight_2-2016,FBI,1
FarRight_2-2016,Islam,8
FarRight_2-2016,Al Qaeda,1
FarRight_2-2016,Soviet,1
FarRight_2-2016,Afghanistan,1
FarRight_2-2016,Islamists,6
FarRight_2-2016,Muslim Fashions,1
FarRight_2-2016,Washington,1
FarRight_2-2016,Jihadists,2
FarRight_2-2016,negro,1
FarRight_2-2016,founder,1
FarRight_2-2016,Nation of Islam,1
FarRight_2-2016,French,2
FarRight_2-2016,UK,2
FarRight_2-2016,Mexicans,2
FarRight_2-2016,Christianity and Islam,1
FarRight_2-2016,Sheridan,1
FarRight_2-2016,Jewish,427
FarRight_2-2016,China,1
FarRight_2-2016,Indonesia,2
FarRight_2-2016,Shia,1
FarRight_2-2016,Pope Francis,1
FarRight_2-2016,Myanmar,1
FarRight_2-2016,Zeldin Islamophobic,1
FarRight_2-2016,House Foreign Affairs Subcommittee,1
FarRight_2-2016,Shiite Muslim,1
FarRight_2-2016,Christians,1
FarRight_2-2016,Keller,1
FarRight_2-2016,anti-Islam,1
FarRight_2-2016,politician,1
FarRight_2-2016,Pauline Hanson,1
FarRight_2-2016,Jews,2
FarRight_2-2016,Jewish Home Party,10
FarRight_2-2016,Naftali Bennett,4
FarRight_2-2016,leader,6
FarRight_2-2016,Stream,2
FarRight_2-2016,Netanyahu,2
FarRight_2-2016,Rotem,2
FarRight_2-2016,Britain,2
FarRight_2-2016,Judaism,2
FarRight_2-2016,David Lange,2
FarRight_2-2016,Judeo-Christian,1
FarRight_2-2016,Western,1
FarRight_2-2016,student,1
FarRight_2-2016,Jewish Hospital,1
FarRight_2-2017,Australian,2
FarRight_2-2017,Ronil Singh,1
FarRight_2-2017,Republicans,1
FarRight_2-2017,EBC,1
FarRight_2-2017,Obama,1
FarRight_2-2017,Illegals,1
FarRight_2-2017,EU,5
FarRight_2-2017,Argentina,2
FarRight_2-2017,Japan,1
FarRight_2-2017,Ukraine,1
FarRight_2-2017,Canada International Pro-family Resistance Transgender,2
FarRight_2-2017,Richard Moorhead,1
FarRight_2-2017,Big League Politics,1
FarRight_2-2017,Orwellian,1
FarRight_2-2017,activist,3
FarRight_2-2017,her,1
FarRight_2-2017,OutServe-Servicemembers Legal Defense Network,1
FarRight_2-2017,Adam,1
FarRight_2-2017,World Professional Association for Transgender Health,1
FarRight_2-2017,Rebekah,1
FarRight_2-2017,cyclist,1
FarRight_2-2017,New Zealand,1
FarRight_2-2017,weightlifter,1
FarRight_2-2017,Muslim,7
FarRight_2-2017,Islam,3
FarRight_2-2017,Russia,1
FarRight_2-2017,Muslims,4
FarRight_2-2017,Serbs,1
FarRight_2-2017,muslim,2
FarRight_2-2018,Border Wall,1
FarRight_2-2018,Trump,1
FarRight_2-2018,Mexico,1
