Dataset,Topic,Entity,Frequency
FarRight_2-2016,Immigration,Mexican,5
FarRight_2-2016,Immigration,Syrian,17
FarRight_2-2016,Immigration,American Civil Liberties Union,1
FarRight_2-2016,Immigration,ACLU,1
FarRight_2-2016,Immigration,U.S.,2
FarRight_2-2016,Immigration,general,1
FarRight_2-2016,Immigration,Trump,57
FarRight_2-2016,Immigration,Turnbull,1
FarRight_2-2016,Immigration,Peter Thiel,2
FarRight_2-2016,Immigration,New Zealand,4
FarRight_2-2016,Immigration,UNCSR,1
FarRight_2-2016,Immigration,State Department,2
FarRight_2-2016,Immigration,Muslim,9
FarRight_2-2016,Immigration,North,1
FarRight_2-2016,Immigration,African,6
FarRight_2-2016,Immigration,Asian,5
FarRight_2-2016,Immigration,Obama,5
FarRight_2-2016,Immigration,Iran,2
FarRight_2-2016,Immigration,intra-European,2
FarRight_2-2016,Immigration,judge,2
FarRight_2-2016,Immigration,America,4
FarRight_2-2016,Immigration,US,8
FarRight_2-2016,Immigration,United States,1
FarRight_2-2016,Immigration,Hispanics,5
FarRight_2-2016,Immigration,New York,1
FarRight_2-2016,Immigration,executive,11
FarRight_2-2016,Immigration,American,2
FarRight_2-2016,Immigration,Muslims,1
FarRight_2-2016,Immigration,Donald Trump,9
FarRight_2-2016,Immigration,President,7
FarRight_2-2016,Immigration,Conway,1
FarRight_2-2016,Immigration,president,2
FarRight_2-2016,Immigration,Yemen,1
FarRight_2-2016,Immigration,Nigeria,1
FarRight_2-2016,Immigration,secretary of Homeland Security,1
FarRight_2-2016,Immigration,his,8
FarRight_2-2016,Immigration,barber,1
FarRight_2-2016,Immigration,Canada,1
FarRight_2-2016,Immigration,minister,1
FarRight_2-2016,Immigration,Schultz,1
FarRight_2-2016,Immigration,Nicholas Espiritu,1
FarRight_2-2016,Immigration,attorney,2
FarRight_2-2016,Immigration,Israeli,1
FarRight_2-2016,Immigration,Commonwealth Office,1
FarRight_2-2016,Immigration,South Dakota,1
FarRight_2-2016,Immigration,Jeff Jacoby,1
FarRight_2-2016,Immigration,All-Democratic,1
FarRight_2-2016,Immigration,"Rich Lowry
Biden",1
FarRight_2-2016,Immigration,UAE,1
FarRight_2-2016,Immigration,Catholic Charities,1
FarRight_2-2016,Immigration,Turkey,3
FarRight_2-2016,Immigration,Mass,2
FarRight_2-2016,Immigration,Hamas,1
FarRight_2-2016,Immigration,DNC,2
FarRight_2-2016,Immigration,EU,13
FarRight_2-2016,Immigration,Russian,2
FarRight_2-2016,Immigration,Thakkar,1
FarRight_2-2016,Immigration,She,3
FarRight_2-2016,Immigration,Kulnawaz Youssef,1
FarRight_2-2016,Immigration,Habeeba Waqas,1
FarRight_2-2016,Immigration,Suad Abdulmajeed,1
FarRight_2-2016,Immigration,Sheikhmous Hussein,1
FarRight_2-2016,Immigration,Greece,1
FarRight_2-2016,Immigration,Fidan Kiru,1
FarRight_2-2016,Immigration,Afrin,1
FarRight_2-2016,Immigration,Sahar Dargzini,1
FarRight_2-2016,Immigration,Amineh Hamad,1
FarRight_2-2016,Immigration,VISA FIS Freestyle World Cup,1
FarRight_2-2016,Immigration,Twitter,1
FarRight_2-2016,Immigration,Lea DeLaria,1
FarRight_2-2016,Immigration,McCarthy,1
FarRight_2-2016,Immigration,Afghan,2
FarRight_2-2016,Immigration,Greek,4
FarRight_2-2016,Immigration,Nigerian,4
FarRight_2-2016,Immigration,Merkel,1
FarRight_2-2016,Immigration,she,5
FarRight_2-2016,Immigration,Mohammed Deif,1
FarRight_2-2016,Immigration,Italy,2
FarRight_2-2016,Immigration,Sweden,1
FarRight_2-2016,Immigration,her,2
FarRight_2-2016,Immigration,pro-American,2
FarRight_2-2016,Immigration,German,1
FarRight_2-2016,Immigration,Facebook,1
FarRight_2-2016,Immigration,Customs Enforcement,2
FarRight_2-2016,Immigration,El Salvador,2
FarRight_2-2016,Immigration,Congress,1
FarRight_2-2016,Immigration,Manus,1
FarRight_2-2016,Immigration,European,2
FarRight_2-2016,Immigration,Center for Immigration Studies,1
FarRight_2-2016,Immigration,Jessica Vaughan,1
FarRight_2-2016,Immigration,Fairness,1
FarRight_2-2016,Immigration,Honduran,1
FarRight_2-2016,Immigration,His,2
FarRight_2-2016,Immigration,Ronil Singh,1
FarRight_2-2016,Immigration,Republicans,1
FarRight_2-2016,Immigration,EBC,1
FarRight_2-2016,Immigration,Nauru,4
FarRight_2-2016,Immigration,Americans,1
FarRight_2-2016,Immigration,Palestinian,1
FarRight_2-2016,Immigration,Booker,1
FarRight_2-2016,Immigration,European Union,1
FarRight_2-2016,Immigration,Times,2
FarRight_2-2016,Immigration,columnist,2
FarRight_2-2016,Immigration,Australia,2
FarRight_2-2016,Immigration,Immigration Minister,1
