Topic,Entity,Frequency
Immigration,British,1
Immigration,Eastern,1
Immigration,European,1
Immigration,Pedro Figueroa-Zarceno,2
Immigration,Zarceno-Figueroa,1
Immigration,South Africa,1
Immigration,America,1
Immigration,pro-American,6
Immigration,African,2
Immigration,Cruz,2
Immigration,Nigerian,1
Islamophobia,Muslims,6
Islamophobia,Muslim,2
Islamophobia,Mueller,1
Islamophobia,Islam,1
Islamophobia,Sunni,1
Islamophobia,Arabs,1
Anti-semitism,Jews,6
Anti-semitism,Jewish,4
Anti-semitism,Kate Middleton,1
Anti-semitism,Congress,1
Anti-semitism,pro-Jewish,3
Transphobia,Californians,2
